日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,PCH
2017-10-13,'601700,风范股份,7.57,7.61,7.45,7.51,7.55,0.02,
2017-10-12,'601700,风范股份,7.55,7.59,7.38,7.52,7.58,-0.03,
2017-10-11,'601700,风范股份,7.58,7.63,7.41,7.46,7.42,0.16,
2017-10-10,'601700,风范股份,7.42,7.47,7.35,7.43,7.47,-0.05,
2017-10-09,'601700,风范股份,7.47,7.64,7.35,7.5,7.46,0.01,
2017-09-29,'601700,风范股份,7.46,7.47,7.26,7.26,7.29,0.17,
2017-09-28,'601700,风范股份,7.29,7.42,7.15,7.15,7.2,0.09,
2017-09-27,'601700,风范股份,7.2,7.25,7.15,7.17,7.22,-0.02,
2017-09-26,'601700,风范股份,7.22,7.41,7.1,7.11,7.19,0.03,
2017-09-25,'601700,风范股份,7.19,7.24,7.04,7.15,7.19,0.0,
2017-09-22,'601700,风范股份,7.19,7.26,7.1,7.11,7.16,0.03,
2017-09-21,'601700,风范股份,7.16,7.24,7.09,7.12,7.16,0.0,
2017-09-20,'601700,风范股份,7.16,7.27,7.07,7.07,7.14,0.02,
2017-09-19,'601700,风范股份,7.14,7.18,7.03,7.11,7.11,0.03,
2017-09-18,'601700,风范股份,7.11,7.22,7.08,7.13,7.16,-0.05,
2017-09-15,'601700,风范股份,7.16,7.18,6.92,7.02,7.0,0.16,
2017-09-14,'601700,风范股份,7.0,7.07,6.6,6.61,6.65,0.35,
2017-09-13,'601700,风范股份,6.65,6.68,6.63,6.67,6.71,-0.06,
2017-09-12,'601700,风范股份,6.71,6.87,6.69,6.84,6.9,-0.19,
2017-09-11,'601700,风范股份,6.9,7.09,6.83,6.9,6.91,-0.01,
2017-09-08,'601700,风范股份,6.91,7.07,6.7,6.75,6.75,0.16,
2017-09-07,'601700,风范股份,6.75,6.77,6.63,6.63,6.72,0.03,
2017-09-06,'601700,风范股份,6.72,6.74,6.6,6.67,6.7,0.02,
2017-09-05,'601700,风范股份,6.7,6.8,6.52,6.55,6.58,0.12,
2017-09-04,'601700,风范股份,6.58,6.59,6.5,6.5,6.56,0.02,
2017-09-01,'601700,风范股份,6.56,6.63,6.46,6.52,6.56,0.0,
2017-08-31,'601700,风范股份,6.56,6.6,6.36,6.5,6.56,0.0,
2017-08-30,'601700,风范股份,6.56,6.69,6.38,6.6,6.67,-0.11,
2017-08-29,'601700,风范股份,6.67,6.91,6.56,6.59,6.6,0.07,
2017-08-28,'601700,风范股份,6.6,6.61,6.47,6.51,6.52,0.08,
2017-08-25,'601700,风范股份,6.52,6.57,6.4,6.46,6.51,0.01,
2017-08-24,'601700,风范股份,6.51,6.58,6.45,6.57,6.54,-0.03,
2017-08-23,'601700,风范股份,6.54,6.59,6.41,6.47,6.53,0.01,
